ID,Score
34988,4
34989,3
34990,3
34991,3
34992,3
34993,3
34994,4
34995,4
34996,4
34997,4
34998,3
34999,4
35000,3
35001,3
35002,3
35003,4
35004,3
35005,4
35006,3
35007,2
35008,3
35009,4
35010,4
35011,4
35012,4
35013,2
35014,2
35015,3
35016,4
35017,4
35018,4
35019,4
35020,2
35021,4
35022,3
35023,3
35024,4
35025,2
35026,3
35027,3
35028,3
35029,5
35030,3
35031,3
35032,4
35033,3
35034,3
35035,4
35036,3
35037,3
35038,4
35039,3
35040,3
35041,4
35042,3
35043,3
35044,3
35045,3
35046,3
35047,4
35048,3
35049,3
35050,3
35051,3
35052,4
35053,3
35054,4
35055,4
35056,4
35057,3
35058,3
35059,3
35060,2
35061,2
35062,3
35063,3
35064,4
35065,3
35066,3
35067,2
35068,4
35069,3
35070,2
35071,3
35072,3
35073,3
35074,2
35075,3
35076,3
35077,4
35078,2
35079,3
35080,2
35081,2
35082,3
35083,3
35084,3
35085,3
35086,4
35087,2
35088,4
35089,3
35090,3
35091,4
35092,3
35093,3
35094,3
35095,4
35096,3
35097,4
35098,2
35099,4
35100,3
35101,4
35102,3
35103,4
35104,3
35105,3
35106,4
35107,3
35108,4
35109,3
35110,3
35111,5
35112,3
35113,3
35114,4
35115,5
35116,3
35117,4
35118,3
35119,3
35120,4
35121,3
35122,3
35123,4
35124,3
35125,3
35126,4
35127,3
35128,3
35129,3
35130,3
35131,2
35132,4
35133,4
35134,3
35135,2
35136,3
35137,3
35138,2
35139,2
35140,5
35141,4
35142,4
35143,3
35144,3
35145,3
35146,3
35147,4
35148,4
35149,3
35150,3
35151,2
35152,1
35153,3
35154,2
35155,3
35156,2
35157,3
35158,3
35159,4
35160,3
35161,3
35162,4
35163,2
35164,3
35165,3
35166,3
35167,3
35168,2
35169,4
35170,3
35171,3
35172,3
35173,3
35174,4
35175,3
35176,4
35177,3
35178,3
35179,3
35180,3
35181,3
35182,2
35183,3
35184,2
35185,4
35186,4
35187,3
35188,2
35189,2
35190,3
35191,4
35192,3
35193,3
35194,3
35195,2
35196,3
35197,3
35198,3
35199,2
35200,3
35201,2
35202,4
35203,4
35204,3
35205,3
35206,3
35207,3
35208,5
35209,4
35210,3
35211,4
35212,5
35213,3
35214,3
35215,3
35216,3
35217,4
35218,4
35219,2
35220,4
35221,4
35222,3
35223,3
35224,4
35225,3
35226,2
35227,2
35228,4
35229,3
35230,4
35231,4
35232,4
35233,3
35234,3
35235,3
35236,3
35237,2
35238,3
35239,2
35240,4
35241,2
35242,2
35243,3
35244,4
35245,3
35246,4
35247,4
35248,2
35249,2
35250,3
35251,3
35252,5
35253,4
35254,3
35255,3
35256,3
35257,4
35258,4
35259,3
35260,3
35261,3
35262,4
35263,3
35264,3
35265,4
35266,2
35267,4
35268,2
35269,3
35270,3
35271,3
35272,3
35273,3
35274,3
35275,4
35276,3
35277,4
35278,3
35279,4
35280,4
35281,3
35282,3
35283,2
35284,4
35285,4
35286,3
